bucket,zone,year,journal,first_author,n_authors,cited,type,doi,title
A,二区(电磁专业),2015,Journal of Computational Physics,Kui Du,3,12,article,10.1016/j.jcp.2015.02.008,A numerical study on the stability of a class of Helmholtz problems
A,二区(电磁专业),2021,Finite Elements in Analysis and Design,Travis Ramsay,1,9,article,10.1016/j.finel.2021.103563,Multiphysics simulation of phase field interface development and geomechanical deformation in radio frequency heating of oil shale
A,二区(电磁专业),2022,Journal of Computational Physics,Yingzhe Li,1,6,article,10.1016/j.jcp.2022.111733,Energy conserving particle-in-cell methods for relativistic Vlasov–Maxwell equations of laser-plasma interaction
A,二区(电磁专业),2025,Engineering Analysis with Boundary Elements,Zhi Qiao,6,8,article,10.1016/j.enganabound.2025.106379,A partitioned modeling approach using a physics-informed neural network for PMSM
A,二区(电磁专业),2023,Engineering Analysis with Boundary Elements,Zheng Lang Jia,4,4,article,10.1016/j.enganabound.2023.07.027,Temperature-drift effect analysis of microstrip filters based on parallel high-order DGTD and FETD method with memory reduction technique
A,二区(电磁专业),2017,Finite Elements in Analysis and Design,Hong Kyoung Seong,5,13,article,10.1016/j.finel.2017.11.009,Reaction-diffusion equation based topology optimization combined with the modified conjugate gradient method
A,二区(电磁专业),2016,Journal of Computational Physics,B. Stupfel,2,3,article,10.1016/j.jcp.2016.07.015,One-way domain decomposition method with exact radiation condition and fast GMRES solver for the solution of Maxwell's equations
A,二区(电磁专业),2022,Computer Methods in Applied Mechanics and Engineering,Sangheon Lee,3,5,article,10.1016/j.cma.2022.114692,Moment method based distributed multipoles for modeling magnetic materials in 2D and 3D magnetostatics
A,二区(电磁专业),2025,Engineering Analysis with Boundary Elements,Nurkeldi Iznat,5,3,article,10.1016/j.enganabound.2025.106153,Shaping quasi-transparent nanotubes into Maximally strong EM scatterers
A,二区(电磁专业),2024,Journal of Computational Physics,Maohui Lyu,2,2,article,10.1016/j.jcp.2024.113280,Nodal discontinuous Galerkin methods for Maxwell's equations in Lorentz-Kerr-Raman medium without nonlinear algebraic solver
A,二区(电磁专业),2026,Engineering Analysis with Boundary Elements,B. Ma,4,0,article,10.1016/j.enganabound.2026.106725,An isoparametric edge-based smoothed finite element method (IES-FEM) for downhole extremely low frequency transmission in high-contrast environments
A,二区(电磁专业),2026,Journal of Computational Physics,Ke Xu,10,0,article,10.1016/j.jcp.2026.115337,A triangular-prism mesh FDTD scheme for electromagnetic modeling
A,二区(电磁专业),2025,Engineering Analysis with Boundary Elements,Abzal Aznabayev,5,0,article,10.1016/j.enganabound.2025.106483,Maximal electromagnetic coupling between arbitrary-shaped nanotubes
A,二区(电磁专业),2026,Journal of Computational Physics,Yuefan Wang,4,0,article,10.1016/j.jcp.2026.114771,A penalty-free .Ñ..(.....)-type immersed FEM for quasi-static electromagnetic interface problems with non-homogeneous jumps
A,二区(电磁专业),2025,Engineering Analysis with Boundary Elements,Jingyu Zheng,8,0,article,10.1016/j.enganabound.2025.106552,Precision-enhanced 3D magnetostatic modeling via edge-based smoothing edge elements with MVP formulation
A,二区(电磁专业),2025,Engineering Analysis with Boundary Elements,Shubo Hou,4,0,article,10.1016/j.enganabound.2025.106542,Physics-informed neural network with scaling relation for transmission performance calculation of magnetic field modulated gear
A,二区(电磁专业),2026,Journal of Computational Physics,Qixing Chen,4,0,article,10.1016/j.jcp.2026.115260,Immersed boundary method with the dynamically regularized Lagrange multiplier/time-filter scheme for oscillatory flow of levitated superalloy liquid
A,二区(电磁专业),2025,Journal of Computational Physics,Xianmin Xu,3,0,article,10.1016/j.jcp.2025.114250,A structure-preserving decoupled numerical method for Navier-Stokes-Nernst-Planck-Maxwell system
A,二区(电磁专业),2015,Computer Methods in Applied Mechanics and Engineering,Ali Vaziri Astaneh,2,28,article,10.1016/j.cma.2015.11.019,Efficient computation of dispersion curves for multilayered waveguides and half-spaces
A,二区(电磁专业),2018,Computer Methods in Applied Mechanics and Engineering,Mi Zhao,6,62,article,10.1016/j.cma.2018.01.018,Stable high-order absorbing boundary condition based on new continued fraction for scalar wave propagation in unbounded multilayer media
A,二区(电磁专业),2019,Computer Methods in Applied Mechanics and Engineering,Byungseong Ahn,5,52,article,10.1016/j.cma.2019.112582,Topology optimization of metasurfaces for anomalous reflection of longitudinal elastic waves
A,二区(电磁专业),2021,Finite Elements in Analysis and Design,Ahmed Kessemtini,3,2,article,10.1016/j.finel.2021.103692,A reduced finite element model for sound propagation in straight and slowly varying cross section ducts
A,二区(电磁专业),2023,International Journal for Numerical Methods in Engineering,Jingjuan Zhai,4,3,article,10.1002/nme.7223,Topology optimization of bi‐material shell structures in shallow sea for reducing waveguide sound radiation
A,二区(电磁专业),2022,International Journal for Numerical Methods in Engineering,Jin Ho Lee,1,3,article,10.1002/nme.7191,Consistent transmitting boundaries for time‐domain analyses of wave propagation in layered anisotropic waveguides
A,二区(电磁专业),2024,Computer Methods in Applied Mechanics and Engineering,Daniel Rabinovich,2,0,article,10.1016/j.cma.2024.117579,A symmetric finite element scheme with high-order absorbing boundary conditions for 2D waveguides
A,二区(电磁专业),2015,Finite Elements in Analysis and Design,Wenbo Duan,2,30,article,10.1016/j.finel.2015.02.008,A numerical model for the scattering of elastic waves from a non-axisymmetric defect in a pipe
A,二区(电磁专业),2018,Finite Elements in Analysis and Design,C. S. Long,4,11,article,10.1016/j.finel.2018.05.001,Numerical verification of an efficient coupled SAFE-3D FE analysis for guided wave ultrasound excitation
A,二区(电磁专业),2019,Computer Methods in Applied Mechanics and Engineering,Daniel Rabinovich,5,9,article,10.1016/j.cma.2019.02.039,Optimized first-order absorbing boundary conditions for anisotropic elastodynamics
A,二区(电磁专业),2020,International Journal for Numerical Methods in Engineering,Jin Ho Lee,1,5,article,10.1002/nme.6572,Root‐finding absorbing boundary condition for anisotropic scalar waves in infinite media
A,二区(电磁专业),2015,IEEE Transactions on Magnetics,Martin Jochum,3,22,article,10.1109/tmag.2014.2360080,A New Low-Frequency Stable Potential Formulation for the Finite-Element Simulation of Electromagnetic Fields
A,二区(电磁专业),2023,IEEE Transactions on Magnetics,Hiroyuki Kaimori,4,13,article,10.1109/tmag.2023.3304998,Low-Frequency Stabilized Formulations of Darwin Model in Time-Domain Electromagnetic Finite-Element Method
A,二区(电磁专业),2017,IEEE Transactions on Magnetics,A. Kameari,5,78,article,10.1109/tmag.2017.2743224,Cauer Ladder Network Representation of Eddy-Current Fields for Model Order Reduction Using Finite-Element Method
A,二区(电磁专业),2015,IEEE Transactions on Magnetics,W. N. Fu,4,32,article,10.1109/tmag.2015.2487362,An Electromagnetic Field and Electric Circuit Coupled Method for Solid Conductors in 3-D Finite-Element Method
A,二区(电磁专业),2019,IEEE Transactions on Magnetics,Yanpu Zhao,2,35,article,10.1109/tmag.2019.2899288,A Novel Gauged Potential Formulation for 3-D Electromagnetic Field Analysis Including Both Inductive and Capacitive Effects
A,二区(电磁专业),2015,IEEE Transactions on Magnetics,Vincenzo Cirimele,4,11,article,10.1109/tmag.2015.2490102,Finite Formulation of Surface Impedance Boundary Conditions
A,二区(电磁专业),2017,IEEE Transactions on Magnetics,S. Couture,5,12,article,10.1109/tmag.2017.2745470,Coupled Finite-Element Micromagnetic—Integral Equation Electromagnetic Simulator for Modeling Magnetization—Eddy Currents Dynamics
A,二区(电磁专业),2023,IEEE Transactions on Magnetics,Zsolt Badics,4,3,article,10.1109/tmag.2023.3244722,Finite-Element A-V Formulation for EMQS Problems via Two-Domain Continuity Gauging
A,二区(电磁专业),2019,IEEE Transactions on Magnetics,Jiacong Li,3,8,article,10.1109/tmag.2019.2923535,Massively Parallel Computation for 3-D Nonlinear Finite Edge Element Problem With Transmission Line Decoupling Technique
